0,0,0,0,0,0,0,29,30,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,35,49,28,0,0,0,0,0,0,0,28,39,45,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,17,51,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33,19,16,57,18,19,16,17,18,19,16,17,33,19,16,57,18,19,16,17,18,19,16,50,18,19,16,57,0,19,16,17,18,51,16,57,18,19,16,17,18,19,16,17,18,19,16,57,18,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,21,22,23,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,47,34,34,42,34,34,32,34,34,32,34,32,43,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,0,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,33,23,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,56,26,27,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,35,27,24,39,34,34,34,34,48,27,24,25,41,34,32,34,32,34,34,32,32,32,34,25,26,27,24,25,0,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,41,34,34,32,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,56,31,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,29,30,31,28,29,30,31,28,29,35,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,0,31,28,50,30,31,28,29,30,31,28,29,30,31,28,29,33,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,18,19,16,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,57,0,0,0,0,0,0,0,56,17,18,19,16,17,18,19,16,17,18,19,16,17,33,19,16,17,18,19,16,17,18,19,16,17,55,19,16,17,0,56,16,17,18,19,16,17,18,19,16,17,18,19,16,17,35,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,22,23,20,21,22,57,0,0,0,0,0,0,0,0,0,21,22,23,20,21,22,53,20,57,22,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,35,23,20,0,0,0,0,0,0,0,56,21,22,23,20,0,0,0,56,21,22,23,20,0,0,0,0,0,0,0,56,21,33,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,56,27,24,25,51,27,57,0,0,0,0,0,0,27,24,25,26,27,24,25,26,27,24,25,26,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,35,27,24,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,24,25,26,27,24,0,0,0,0,0,0,0,24,25,35,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,56,28,29,30,31,28,57,57,0,0,0,30,31,28,29,30,31,28,48,30,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,33,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,28,33,35,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,56,16,17,18,19,16,17,18,57,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,35,19,16,57,18,19,57,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,16,17,18,19,16,35,33,19,16,57,18,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,56,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,57,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,33,49,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,33,33,23,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,56,26,27,24,25,26,27,24,25,26,27,24,0,0,56,24,48,26,27,24,49,26,27,24,25,0,0,0,0,0,0,0,0,0,0,24,25,26,51,24,25,33,27,24,25,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,51,27,24,33,35,27,24,25,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,29,30,31,28,29,30,31,28,0,0,56,28,29,30,31,28,29,30,31,28,29,0,0,0,0,0,0,0,0,0,0,28,29,32,34,32,32,45,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,35,35,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,19,16,17,18,19,16,0,0,0,0,56,52,19,16,17,18,19,16,17,0,0,0,0,0,0,0,0,0,0,56,17,18,19,16,17,35,19,16,17,18,19,16,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,56,17,18,19,16,39,45,19,16,17,18,19,16,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,23,20,21,22,23,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,33,23,20,0,0,0,0,0,0,0,20,53,22,23,20,0,0,0,20,21,22,23,20,0,0,0,0,0,0,0,56,21,35,23,20,0,0,0,0,0,0,0,20,21,22,23,20,0,0,0,20,21,22,23,20,0,0,0,20,21,22,23,20,0,0,0,20,21,22,23,20,0,0,0,20,21,22,23,20,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,24,25,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,33,27,24,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,24,25,26,27,24,0,0,0,0,0,0,0,24,25,35,27,24,0,0,0,0,0,0,0,24,53,26,51,24,0,0,0,24,25,26,27,24,0,0,0,24,25,51,27,24,0,0,0,24,25,50,27,24,0,0,0,24,25,26,52,24,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,29,30,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,35,31,28,0,0,0,0,0,0,0,28,48,30,33,28,0,0,0,28,29,30,50,28,0,0,0,0,0,0,0,28,29,35,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,50,28,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,54,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,19,16,17,18,19,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,35,19,16,57,18,19,16,17,18,19,16,17,18,35,16,57,18,19,16,17,18,19,16,57,18,19,16,17,18,19,16,17,33,19,16,57,18,19,16,17,18,19,16,17,18,19,16,57,18,19,16,17,18,19,16,57,18,19,16,17,18,19,16,57,18,19,16,17,18,19,16,57,18,19,16,17,50,19,16,57,18,19,57,0,
0,0,0,0,0,0,0,0,0,23,20,21,22,23,20,21,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,33,23,20,21,22,23,20,21,22,23,20,21,22,33,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,35,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,32,32,34,34,34,34,32,34,37,22,23,20,21,22,23,20,21,22,23,20,0,
0,0,0,0,0,0,0,0,0,56,24,25,50,27,24,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,50,24,25,47,32,32,34,34,32,34,34,32,34,32,34,32,46,34,32,34,44,32,32,34,34,32,34,32,32,32,32,32,34,32,32,43,27,24,25,26,27,24,25,26,27,36,34,34,32,34,32,32,34,34,32,32,32,32,32,34,34,34,32,44,32,32,34,32,32,32,34,32,32,34,40,32,32,49,25,26,27,24,25,26,27,24,27,
0,0,0,0,0,0,0,0,0,0,0,56,30,31,28,29,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,29,35,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,39,34,32,32,31,28,29,30,31,28,29,30,31,28,29,47,34,34,32,34,32,32,34,32,32,46,34,34,32,34,34,32,34,28,29,30,31,28,29,30,31,28,29,35,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,31,
0,0,0,0,0,0,0,0,0,0,0,17,18,19,16,17,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,55,16,17,35,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,33,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,33,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,0,
0,0,0,0,0,0,0,0,0,0,0,21,22,23,20,21,22,23,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,33,23,20,0,0,0,0,0,0,0,56,50,22,23,20,0,0,0,56,21,22,23,20,0,0,0,0,0,0,0,56,21,33,23,20,0,0,0,0,0,0,0,56,21,22,23,20,0,0,0,56,21,22,23,20,0,0,0,56,21,35,23,20,0,0,0,56,21,51,23,20,0,0,0,56,21,22,23,20,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,27,24,25,26,27,24,51,26,27,24,57,26,27,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,33,27,24,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,24,25,26,27,24,0,0,0,0,0,0,0,24,25,35,27,24,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,24,25,26,27,24,0,0,0,24,52,26,27,24,0,0,0,24,25,26,27,24,0,0,0,24,25,26,27,24,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,35,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,28,29,47,37,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,54,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,18,19,16,17,35,19,16,57,18,19,57,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,16,17,18,19,16,17,33,35,16,57,18,19,57,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,56,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,35,23,20,54,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,22,23,20,21,35,35,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,56,25,51,27,24,25,26,27,24,25,26,27,24,25,26,27,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,50,24,25,26,27,24,25,51,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,27,24,25,35,35,24,25,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,56,48,30,31,28,29,30,0,0,0,0,56,28,29,30,31,28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,29,30,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,51,31,28,29,33,35,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,56,18,19,16,17,18,57,0,0,0,0,56,17,18,51,16,17,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,19,16,17,18,19,16,17,18,19,16,0,0,0,16,17,18,19,57,0,0,0,16,17,18,19,57,0,0,0,56,17,18,19,16,17,35,33,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,56,23,20,21,22,23,0,0,0,0,0,56,22,23,20,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,21,22,23,20,0,0,0,0,0,0,0,20,21,22,23,20,0,0,0,20,55,22,23,20,0,0,0,0,0,0,0,56,21,33,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,56,27,24,25,26,27,0,0,0,0,0,0,56,27,24,25,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,24,49,26,27,24,0,0,0,0,0,0,0,24,25,33,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,29,30,31,27,0,0,0,0,0,56,31,28,29,30,31,57,29,57,0,0,0,30,31,28,29,30,31,28,29,57,0,0,0,0,0,28,29,30,31,57,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,33,28,0,0,0,0,0,0,0,28,29,35,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,19,31,0,0,0,0,0,0,56,16,17,18,19,16,17,18,57,0,17,18,19,16,17,18,50,16,17,18,0,16,17,18,19,16,17,18,19,16,57,18,19,16,17,18,19,16,17,18,19,16,57,18,19,16,17,18,35,16,57,18,19,16,17,18,19,16,17,35,19,16,57,18,19,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,23,0,0,0,0,0,0,0,0,56,21,22,48,20,21,22,23,57,21,22,23,20,21,22,23,20,21,22,57,20,21,22,23,20,21,49,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,23,20,21,22,35,20,21,22,23,20,21,22,23,20,21,33,23,20,21,54,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,34,34,32,32,34,34,34,32,32,32,46,32,34,32,32,32,34,34,32,34,34,45,27,24,48,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,28,29,30,31,51,29,30,31,28,29,0,56,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,51,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,30,31,28,29,33,31,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,53,16,17,18,19,16,17,0,0,0,0,0,0,56,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,35,19,16,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,23,20,21,22,23,20,0,0,0,0,0,0,0,0,0,0,0,56,51,22,23,20,0,0,0,0,0,0,0,56,21,22,23,20,0,0,0,56,21,22,23,20,0,0,0,0,0,0,0,56,21,35,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,26,27,24,0,0,0,0,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,0,0,0,0,24,53,26,27,24,0,0,0,24,25,49,27,24,0,0,0,0,0,0,0,24,25,26,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,28,29,30,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,18,19,16,0,0,0,0,0,0,0,56,17,18,19,16,0,0,0,56,17,18,19,16,0,0,0,0,0,0,0,56,17,18,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
